xdate,temp,press,rain_1h,windspeed,windgust,snow_1h
04-19-2023 12:06:43,11.8,1036,0,6.17,nan,0
04-19-2023 12:11:42,11.8,1036,0,6.17,nan,0
04-19-2023 12:16:43,11.8,1036,0,6.17,nan,0
04-19-2023 12:19:21,11.8,1036,0,6.17,nan,0
04-19-2023 12:21:46,11.8,1036,0,6.17,nan,0
04-19-2023 12:25:14,12.0,1036,0,6.17,nan,0
04-19-2023 12:29:03,12.0,1036,0,6.17,nan,0
04-19-2023 12:29:41,12.0,1036,0,6.17,nan,0
04-19-2023 12:30:25,12.0,1036,0,6.17,nan,0
04-19-2023 12:37:43,12.1,1036,0,5.14,nan,0
04-19-2023 12:38:09,12.1,1036,0,5.14,nan,0
04-19-2023 12:39:02,12.1,1036,0,5.14,nan,0
04-19-2023 12:39:30,12.1,1036,0,5.14,nan,0
04-19-2023 12:41:00,12.1,1036,0,5.14,nan,0
04-19-2023 12:41:19,12.1,1036,0,5.14,nan,0
04-19-2023 12:46:47,12.1,1036,0,5.14,nan,0
04-19-2023 12:47:21,12.1,1036,0,5.14,nan,0
04-19-2023 12:49:45,12.1,1036,0,5.14,nan,0
04-19-2023 12:50:01,12.1,1036,0,5.14,nan,0
04-19-2023 12:50:56,12.1,1036,0,5.14,nan,0
04-19-2023 12:51:55,12.1,1036,0,5.14,nan,0
04-19-2023 12:52:10,12.1,1036,0,5.14,nan,0
04-19-2023 12:52:37,12.1,1036,0,5.14,nan,0
04-19-2023 12:53:00,12.1,1036,0,5.14,nan,0
04-19-2023 12:54:11,12.1,1036,0,5.14,nan,0
04-19-2023 12:55:14,12.1,1036,0,5.14,nan,0
04-20-2023 09:45:40,10,1033,0,2.06,nan,0
04-20-2023 09:46:24,10,1033,0,2.06,nan,0
04-20-2023 09:46:47,10,1033,0,2.06,nan,0
04-20-2023 09:48:13,10,1033,0,2.06,nan,0
04-26-2023 13:44:17,8.4,999,0,6.17,nan,0
04-26-2023 13:48:55,8.3,999,0,6.17,nan,0
04-26-2023 13:49:32,8.3,999,0,6.17,nan,0
04-26-2023 14:39:11,9.2,999,0,4.63,nan,0
04-26-2023 14:47:20,9.2,999,0,4.63,nan,0
04-26-2023 14:49:40,9.2,999,0,4.63,nan,0
04-26-2023 14:50:49,9.2,999,0,4.63,nan,0
04-26-2023 14:51:18,9.2,999,0,4.63,nan,0
04-26-2023 14:51:46,9.2,999,0,4.63,nan,0
04-26-2023 14:53:44,9.2,999,0,4.63,nan,0
04-26-2023 14:54:49,9.2,999,0,4.63,nan,0
04-26-2023 14:56:02,9.2,999,0,4.63,nan,0
04-26-2023 14:57:07,9.2,999,0,4.63,nan,0
04-26-2023 14:57:24,9.2,999,0,4.63,nan,0
04-26-2023 14:58:08,9.2,999,0,4.63,nan,0
04-26-2023 14:58:44,9.2,999,0,4.63,nan,0
04-26-2023 15:03:50,9.2,999,0,4.63,nan,0
04-26-2023 15:04:47,9.2,999,0,4.63,nan,0
04-26-2023 15:09:48,9.3,999,0,4.63,nan,0
04-26-2023 15:14:48,9.3,999,0,4.63,nan,0
04-26-2023 15:19:48,9.4,999,0,4.63,nan,0
04-26-2023 15:24:48,9.4,999,0,4.63,nan,0
04-26-2023 15:29:47,9.3,999,0,4.63,nan,0
04-26-2023 15:34:47,9.3,999,0,5.14,nan,0
04-26-2023 15:39:48,9.3,999,0,5.14,nan,0
04-26-2023 15:44:48,9.2,999,0,5.14,nan,0
